,YearsCode,ConvertedCompYearly
1,7,
4,17,
6,3,
7,4,
8,6,
9,7,51552.0
10,16,
11,12,46482.0
12,15,77290.0
13,10,
14,40,
15,7,
16,6,17748.0
17,9,46135.0
18,40,160932.0
19,12,
22,7,
23,9,38915.0
24,26,77831.0
25,12,
26,14,81319.0
27,39,68507.0
28,14,
29,20,37752.0
30,4,
31,4,122580.0
32,8,
33,6,11832.0
34,17,24000.0
35,19,60535.0
36,8,103000.0
37,20,300000.0
38,5,
39,3,
41,6,25944.0
42,10,
44,6,
45,22,60480.0
46,2,
47,39,
48,7,20556.0
50,12,25944.0
51,14,
52,5,
53,6,
54,1,
55,34,64630.0
56,6,
57,21,54049.0
58,5,22644.0
59,2,
60,9,
61,5,
62,13,130000.0
63,5,
64,6,500000.0
65,7,
66,5,
67,25,71850.0
68,20,58373.0
69,24,129266.0
70,10,25944.0
71,30,
72,4,
73,5,
74,4,
75,25,105000.0
76,12,45564.0
77,10,151263.0
80,1,105024.0
81,10,40500.0
82,5,
83,12,43908.0
84,25,42336.0
85,7,
86,31,95295.0
87,18,100000.0
88,26,61398.0
89,9,
90,10,
91,20,108098.0
92,12,
93,6,
95,25,
96,10,518868.0
97,10,27336.0
98,3,
99,10,5216.0
100,8,151337.0
101,18,24648.0
102,4,7788.0
103,10,
104,4,
105,38,134176.0
106,10,64630.0
107,30,
108,10,38915.0
109,8,4944.0
110,6,29508.0
111,25,
112,4,
113,8,
114,13,14268.0
115,4,
116,10,43239.0
117,3,48.0
118,12,140000.0
119,5,45401.0
121,8,
122,6,14124.0
123,12,59676.0
124,6,101916.0
125,17,21000.0
126,4,
127,5,
128,7,54000.0
129,27,200000.0
130,17,36324.0
131,6,596700.0
132,15,
133,3,
134,14,105884.0
135,9,
136,1,38778.0
138,5,48600.0
139,30,59454.0
140,6,
141,5,
142,4,14652.0
143,38,200000.0
144,4,
145,27,97288.0
146,15,75492.0
147,7,
148,2,36000.0
149,7,
150,7,49725.0
152,31,70047.0
153,15,98500.0
154,20,2340.0
155,41,115000.0
156,9,43908.0
157,8,103408.0
158,15,
159,13,42000.0
160,7,105072.0
161,42,71093.0
162,12,
163,13,
164,7,
165,8,59676.0
166,8,17412.0
167,40,
